elapsed_time_s,tracking_error_m
1.804,0.0045
1.809,0.0104
1.814,0.0045
1.819,0.0103
1.824,0.0045
1.829,0.0101
1.834,0.0045
1.839,0.0099
1.844,0.0046
1.849,0.0097
1.854,0.0046
1.859,0.0096
1.864,0.0045
1.869,0.0094
1.874,0.0046
1.879,0.0092
1.884,0.0046
1.889,0.0090
1.894,0.0046
1.899,0.0088
1.905,0.0047
1.909,0.0087
1.914,0.0045
1.919,0.0084
1.924,0.0047
1.929,0.0082
1.934,0.0046
1.939,0.0080
1.944,0.0047
1.949,0.0078
1.954,0.0047
1.959,0.0076
1.964,0.0047
1.969,0.0074
1.974,0.0047
1.979,0.0071
1.984,0.0047
1.989,0.0070
1.994,0.0048
1.999,0.0068
2.004,0.0047
2.009,0.0066
2.014,0.0047
2.019,0.0063
2.024,0.0048
2.029,0.0062
2.034,0.0048
2.039,0.0060
2.044,0.0048
2.049,0.0058
2.054,0.0048
2.059,0.0056
2.064,0.0049
2.069,0.0054
2.074,0.0049
2.079,0.0053
2.084,0.0050
2.089,0.0051
2.094,0.0050
2.099,0.0049
2.104,0.0050
2.109,0.0048
2.114,0.0050
2.119,0.0047
2.124,0.0050
2.129,0.0045
2.134,0.0051
2.139,0.0044
2.144,0.0051
2.149,0.0043
2.154,0.0052
2.159,0.0043
2.164,0.0052
2.169,0.0043
2.174,0.0052
2.179,0.0042
2.184,0.0053
2.189,0.0042
2.194,0.0054
2.199,0.0042
2.204,0.0053
2.209,0.0042
2.214,0.0054
2.219,0.0043
2.224,0.0054
2.229,0.0043
2.234,0.0055
2.239,0.0044
2.244,0.0055
2.249,0.0045
2.254,0.0055
2.259,0.0046
2.264,0.0056
2.269,0.0048
2.274,0.0056
2.280,0.0048
2.285,0.0057
2.289,0.0050
2.294,0.0057
2.299,0.0052
2.304,0.0057
2.309,0.0053
2.315,0.0058
2.319,0.0055
2.324,0.0058
2.329,0.0056
2.334,0.0058
2.339,0.0058
2.344,0.0058
2.349,0.0060
2.354,0.0059
2.359,0.0062
2.364,0.0059
2.369,0.0063
2.374,0.0059
2.380,0.0065
2.384,0.0059
2.390,0.0067
2.394,0.0059
2.399,0.0069
2.404,0.0060
2.409,0.0070
2.414,0.0060
2.419,0.0072
2.424,0.0060
2.429,0.0074
2.434,0.0060
2.439,0.0076
2.444,0.0060
2.449,0.0077
2.454,0.0060
2.459,0.0079
2.464,0.0060
2.469,0.0081
2.474,0.0060
2.479,0.0082
2.485,0.0059
2.489,0.0084
2.494,0.0059
2.499,0.0085
2.504,0.0059
2.509,0.0087
2.514,0.0059
2.519,0.0088
2.524,0.0059
2.529,0.0090
2.534,0.0059
2.540,0.0090
2.544,0.0058
2.549,0.0092
2.554,0.0058
2.559,0.0094
2.564,0.0058
2.569,0.0095
2.574,0.0057
2.579,0.0096
2.585,0.0057
2.589,0.0097
2.594,0.0057
2.599,0.0098
2.604,0.0056
2.610,0.0099
2.614,0.0056
2.619,0.0100
2.624,0.0055
2.629,0.0101
2.634,0.0055
2.639,0.0102
2.645,0.0054
2.649,0.0102
2.654,0.0054
2.660,0.0103
2.664,0.0053
